DBID	Name	Group
DB00225	Gadodiamide	approved, investigational
DB00226	Guanadrel	approved
DB00227	Lovastatin	approved, investigational
DB00228	Enflurane	approved, investigational, vet_approved
DB00229	Cefotiam	approved, investigational
DB00230	Pregabalin	approved, investigational
DB00231	Temazepam	approved, investigational
DB00232	Methyclothiazide	withdrawn
DB00233	Aminosalicylic acid	approved
DB00234	Reboxetine	approved, experimental
DB00235	Milrinone	approved
DB00236	Pipobroman	approved
DB00237	Butabarbital	approved, illicit
DB00238	Nevirapine	approved
DB00239	Oxiconazole	approved
DB00240	Alclometasone	approved
DB00241	Butalbital	approved, illicit
DB00242	Cladribine	approved, investigational
DB00243	Ranolazine	approved, investigational
DB00244	Mesalazine	approved
DB00245	Benzatropine	approved
DB00246	Ziprasidone	approved
DB00247	Methysergide	approved
DB00248	Cabergoline	approved
DB00249	Idoxuridine	approved, investigational
DB00250	Dapsone	approved, investigational
DB00251	Terconazole	approved
DB00252	Phenytoin	approved, vet_approved
DB00253	Medrysone	approved
DB00254	Doxycycline	approved, investigational, vet_approved
DB00255	Diethylstilbestrol	approved, investigational
DB00256	Lymecycline	approved, investigational
DB00257	Clotrimazole	approved, vet_approved
DB00258	Calcium acetate	approved, investigational
DB00259	Sulfanilamide	approved
DB00260	Cycloserine	approved
DB00261	Anagrelide	approved
DB00262	Carmustine	approved, investigational
DB00263	Sulfisoxazole	approved, vet_approved
DB00264	Metoprolol	approved, investigational
DB00265	Crotamiton	approved
DB00266	Dicoumarol	approved
DB00267	Cefmenoxime	approved
DB00268	Ropinirole	approved, investigational
DB00269	Chlorotrianisene	investigational, withdrawn
DB00270	Isradipine	approved, investigational
DB00271	Diatrizoate	approved, vet_approved
DB00272	Betazole	approved
DB00273	Topiramate	approved
DB00274	Cefmetazole	approved, investigational
DB00275	Olmesartan	approved, investigational
DB00276	Amsacrine	approved, investigational
DB00277	Theophylline	approved
DB00278	Argatroban	approved, investigational
DB00279	Liothyronine	approved, vet_approved
DB00280	Disopyramide	approved
DB00281	Lidocaine	approved, vet_approved
DB00282	Pamidronic acid	approved
DB00283	Clemastine	approved, investigational
DB00284	Acarbose	approved, investigational
DB00285	Venlafaxine	approved
DB00286	Conjugated estrogens	approved
DB00287	Travoprost	approved
DB00288	Amcinonide	approved
DB00289	Atomoxetine	approved
DB00290	Bleomycin	approved, investigational
DB00291	Chlorambucil	approved
DB00292	Etomidate	approved
DB00293	Raltitrexed	approved, investigational
DB00294	Etonogestrel	approved, investigational
DB00295	Morphine	approved, investigational
DB00296	Ropivacaine	approved
DB00297	Bupivacaine	approved, investigational
DB00298	Dapiprazole	approved
DB00299	Penciclovir	approved
DB00300	Tenofovir disoproxil	approved, investigational
DB00301	Flucloxacillin	approved, investigational
DB00302	Tranexamic acid	approved
DB00303	Ertapenem	approved, investigational
DB00304	Desogestrel	approved
DB00305	Mitomycin	approved
DB00306	Talbutal	approved, illicit
DB00307	Bexarotene	approved, investigational
DB00308	Ibutilide	approved
DB00309	Vindesine	approved, investigational
DB00310	Chlorthalidone	approved
DB00311	Ethoxzolamide	withdrawn
DB00312	Pentobarbital	approved, investigational, vet_approved
DB00313	Valproic acid	approved, investigational
DB00314	Capreomycin	approved
DB00315	Zolmitriptan	approved, investigational
DB00316	Acetaminophen	approved
DB00317	Gefitinib	approved, investigational
DB00318	Codeine	approved, illicit
DB00319	Piperacillin	approved
DB00320	Dihydroergotamine	approved, investigational
DB00321	Amitriptyline	approved
DB00322	Floxuridine	approved
DB00323	Tolcapone	approved, withdrawn
DB00324	Fluorometholone	approved, investigational
DB00325	Nitroprusside	approved, investigational
DB00326	Calcium glucoheptonate	approved
DB00327	Hydromorphone	approved, illicit
DB00328	Indomethacin	approved, investigational
DB00330	Ethambutol	approved
DB00331	Metformin	approved
DB00332	Ipratropium	approved, experimental
DB00333	Methadone	approved
DB00334	Olanzapine	approved, investigational
DB00335	Atenolol	approved
DB00336	Nitrofural	approved, investigational, vet_approved
DB00337	Pimecrolimus	approved, investigational
DB00338	Omeprazole	approved, investigational, vet_approved
DB00339	Pyrazinamide	approved, investigational
DB00340	Metixene	approved
DB00341	Cetirizine	approved
DB00342	Terfenadine	approved, withdrawn
DB00343	Diltiazem	approved, investigational
DB00344	Protriptyline	approved
DB00345	Aminohippuric acid	approved, investigational
DB00346	Alfuzosin	approved, investigational
DB00347	Trimethadione	approved
DB00348	Nitisinone	approved, investigational
DB00349	Clobazam	approved, illicit
DB00350	Minoxidil	approved, investigational
DB00351	Megestrol acetate	approved, investigational, vet_approved
DB00352	Tioguanine	approved
DB00353	Methylergometrine	approved
DB00354	Buclizine	approved
DB00355	Aztreonam	approved
DB00356	Chlorzoxazone	approved
DB00357	Aminoglutethimide	approved, investigational
DB00358	Mefloquine	approved, investigational
DB00359	Sulfadiazine	approved, investigational, vet_approved
DB00360	Sapropterin	approved, investigational
DB00361	Vinorelbine	approved, investigational
DB00362	Anidulafungin	approved, investigational
DB00363	Clozapine	approved
DB00364	Sucralfate	approved
DB00365	Grepafloxacin	approved, investigational, withdrawn
DB00366	Doxylamine	approved, vet_approved
DB00367	Levonorgestrel	approved, investigational
DB00368	Norepinephrine	approved
DB00369	Cidofovir	approved
DB00370	Mirtazapine	approved
DB00371	Meprobamate	approved, illicit
DB00372	Thiethylperazine	approved, withdrawn
DB00373	Timolol	approved
DB00374	Treprostinil	approved, investigational
DB00375	Colestipol	approved
DB00376	Trihexyphenidyl	approved
DB00377	Palonosetron	approved, investigational
DB00378	Dydrogesterone	approved, investigational, withdrawn
DB00379	Mexiletine	approved, investigational
DB00380	Dexrazoxane	approved, withdrawn
DB00381	Amlodipine	approved
DB00382	Tacrine	approved, investigational, withdrawn
DB00383	Oxyphencyclimine	approved
DB00384	Triamterene	approved
DB00385	Valrubicin	approved
DB00387	Procyclidine	approved
DB00388	Phenylephrine	approved
DB00389	Carbimazole	approved, investigational
DB00390	Digoxin	approved
DB00391	Sulpiride	approved, investigational
DB00392	Profenamine	approved
DB00393	Nimodipine	approved, investigational
DB00394	Beclomethasone dipropionate	approved, investigational
DB00395	Carisoprodol	approved
DB00396	Progesterone	approved, vet_approved
DB00397	Phenylpropanolamine	approved, vet_approved, withdrawn
DB00398	Sorafenib	approved, investigational
DB00399	Zoledronic acid	approved
DB00400	Griseofulvin	approved, investigational, vet_approved
DB00401	Nisoldipine	approved
DB00402	Eszopiclone	approved, investigational
DB00403	Ceruletide	approved
DB00404	Alprazolam	approved, illicit, investigational
DB00405	Dexbrompheniramine	approved
DB00406	Gentian violet cation	approved
DB00407	Ardeparin	approved, investigational, withdrawn
DB00408	Loxapine	approved
DB00409	Remoxipride	approved, withdrawn
DB00410	Mupirocin	approved, investigational, vet_approved
DB00411	Carbamoylcholine	approved
DB00412	Rosiglitazone	approved, investigational
DB00413	Pramipexole	approved, investigational
DB00414	Acetohexamide	approved, investigational, withdrawn
DB00415	Ampicillin	approved, vet_approved
DB00416	Metocurine iodide	approved, withdrawn
DB00417	Phenoxymethylpenicillin	approved, vet_approved
DB00418	Secobarbital	approved, vet_approved
DB00419	Miglustat	approved
DB00420	Promazine	approved, vet_approved
DB00421	Spironolactone	approved
DB00422	Methylphenidate	approved, investigational
DB00423	Methocarbamol	approved, vet_approved
DB00424	Hyoscyamine	approved
DB00425	Zolpidem	approved
DB00426	Famciclovir	approved, investigational
DB00427	Triprolidine	approved
DB00428	Streptozocin	approved, investigational
DB00429	Carboprost tromethamine	approved
DB00430	Cefpiramide	approved
DB00431	Lindane	approved, withdrawn
DB00432	Trifluridine	approved, investigational
DB00433	Prochlorperazine	approved, vet_approved
DB00434	Cyproheptadine	approved
DB00435	Nitric Oxide	approved
DB00436	Bendroflumethiazide	approved
DB00437	Allopurinol	approved
DB00438	Ceftazidime	approved
DB00439	Cerivastatin	approved, withdrawn
DB00440	Trimethoprim	approved, vet_approved
DB00441	Gemcitabine	approved
DB00442	Entecavir	approved, investigational
DB00443	Betamethasone	approved, vet_approved
DB00444	Teniposide	approved
DB00445	Epirubicin	approved
DB00446	Chloramphenicol	approved, vet_approved
DB00447	Loracarbef	approved, investigational, withdrawn
DB00448	Lansoprazole	approved, investigational
DB00449	Dipivefrin	approved
DB00450	Droperidol	approved, vet_approved
DB00451	Levothyroxine	approved
DB00452	Framycetin	approved
DB00453	Clomocycline	experimental
DB00454	Meperidine	approved
DB00455	Loratadine	approved, investigational
DB00456	Cefalotin	approved, investigational, vet_approved
DB00457	Prazosin	approved
DB00458	Imipramine	approved
DB00459	Acitretin	approved
DB00460	Verteporfin	approved, investigational
DB00461	Nabumetone	approved
DB00462	Methscopolamine bromide	approved
DB00463	Metharbital	withdrawn
DB00464	Sodium tetradecyl sulfate	approved, investigational
DB00465	Ketorolac	approved
DB00466	Picrotoxin	experimental
DB00467	Enoxacin	approved, investigational
DB00468	Quinine	approved
DB00469	Tenoxicam	approved
DB00470	Dronabinol	approved, illicit
DB00471	Montelukast	approved
DB00472	Fluoxetine	approved, vet_approved
DB00473	Hexylcaine	approved, withdrawn
DB00474	Methohexital	approved
DB00475	Chlordiazepoxide	approved, illicit, investigational
DB00476	Duloxetine	approved
DB00477	Chlorpromazine	approved, investigational, vet_approved
DB00478	Rimantadine	approved, investigational
DB00479	Amikacin	approved, investigational, vet_approved
DB00480	Lenalidomide	approved
DB00481	Raloxifene	approved, investigational
DB00482	Celecoxib	approved, investigational
DB00483	Gallamine triethiodide	approved
DB00484	Brimonidine	approved
DB00485	Dicloxacillin	approved, investigational, vet_approved
DB00486	Nabilone	approved, investigational
DB00487	Pefloxacin	approved
DB00488	Altretamine	approved
DB00489	Sotalol	approved
DB00490	Buspirone	approved, investigational
DB00491	Miglitol	approved
DB00492	Fosinopril	approved
DB00493	Cefotaxime	approved
DB00494	Entacapone	approved, investigational
DB00495	Zidovudine	approved
DB00496	Darifenacin	approved, investigational
DB00497	Oxycodone	approved, illicit, investigational
DB00498	Phenindione	approved, investigational
DB00499	Flutamide	approved, investigational
DB00500	Tolmetin	approved
DB00501	Cimetidine	approved, investigational
DB00502	Haloperidol	approved
DB00503	Ritonavir	approved, investigational
DB00504	Levallorphan	approved
DB00505	Tridihexethyl	withdrawn
DB00507	Nitazoxanide	approved, investigational, vet_approved
DB00508	Triflupromazine	approved, vet_approved
DB00509	Dextrothyroxine	approved, investigational
DB00511	Acetyldigitoxin	approved
DB00512	Vancomycin	approved
DB00513	Aminocaproic acid	approved, investigational
DB00514	Dextromethorphan	approved
DB00515	Cisplatin	approved
DB00516	Bentoquatam	approved
DB00517	Anisotropine methylbromide	approved
DB00518	Albendazole	approved, vet_approved
DB00519	Trandolapril	approved
DB00520	Caspofungin	approved
DB00521	Carteolol	approved
DB00522	Bentiromide	investigational, withdrawn
DB00523	Alitretinoin	approved, investigational
DB00524	Metolazone	approved
DB00525	Tolnaftate	approved, investigational, vet_approved
DB00526	Oxaliplatin	approved, investigational
DB00527	Cinchocaine	approved, vet_approved
DB00528	Lercanidipine	approved, investigational
DB00529	Foscarnet	approved
DB00530	Erlotinib	approved, investigational
DB00531	Cyclophosphamide	approved, investigational
DB00532	Mephenytoin	approved, investigational, withdrawn
DB00533	Rofecoxib	approved, investigational, withdrawn
DB00534	Chlormerodrin	approved, withdrawn
DB00535	Cefdinir	approved
DB00536	Guanidine	approved
DB00537	Ciprofloxacin	approved, investigational
DB00538	Gadoversetamide	approved, investigational
DB00539	Toremifene	approved, investigational
DB00540	Nortriptyline	approved
DB00541	Vincristine	approved, investigational
DB00542	Benazepril	approved, investigational
DB00543	Amoxapine	approved
DB00544	Fluorouracil	approved
DB00545	Pyridostigmine	approved, investigational
DB00546	Adinazolam	experimental
DB00547	Desoximetasone	approved
DB00548	Azelaic acid	approved
DB00549	Zafirlukast	approved, investigational
DB00550	Propylthiouracil	approved, investigational
DB00551	Acetohydroxamic acid	approved
DB00552	Pentostatin	approved, investigational
DB00553	Methoxsalen	approved
DB00554	Piroxicam	approved, investigational
DB00555	Lamotrigine	approved, investigational
DB00556	Perflutren	approved
DB00557	Hydroxyzine	approved
DB00558	Zanamivir	approved, investigational
DB00559	Bosentan	approved, investigational
DB00560	Tigecycline	approved
DB00561	Doxapram	approved, vet_approved
DB00562	Benzthiazide	approved
DB00563	Methotrexate	approved
DB00564	Carbamazepine	approved, investigational
DB00565	Cisatracurium	approved
DB00566	Succimer	approved
DB00567	Cephalexin	approved, investigational, vet_approved
DB00568	Cinnarizine	approved, investigational
DB00569	Fondaparinux	approved, investigational
DB00570	Vinblastine	approved
DB00571	Propranolol	approved, investigational
DB00572	Atropine	approved, vet_approved
DB00573	Fenoprofen	approved
DB00574	Fenfluramine	approved, illicit, investigational, withdrawn
DB00575	Clonidine	approved
DB00576	Sulfamethizole	approved, investigational, vet_approved
DB00577	Valaciclovir	approved, investigational
DB00578	Carbenicillin	approved, investigational
DB00579	Mazindol	approved, investigational
DB00580	Valdecoxib	approved, investigational, withdrawn
DB00581	Lactulose	approved
DB00582	Voriconazole	approved
DB00583	Levocarnitine	approved, investigational
DB00584	Enalapril	approved, vet_approved
DB00585	Nizatidine	approved
DB00586	Diclofenac	approved, vet_approved
DB00587	Cinalukast	experimental
DB00588	Fluticasone propionate	approved
DB00589	Lisuride	approved, investigational
DB00590	Doxazosin	approved
DB00591	Fluocinolone acetonide	approved, investigational, vet_approved
DB00592	Piperazine	approved, vet_approved
DB00593	Ethosuximide	approved
DB00594	Amiloride	approved
DB00595	Oxytetracycline	approved, investigational, vet_approved
DB00596	Ulobetasol	approved
DB00597	Gadoteridol	approved, investigational
DB00598	Labetalol	approved
DB00599	Thiopental	approved, vet_approved
DB00600	Monobenzone	approved
DB00601	Linezolid	approved, investigational
DB00602	Ivermectin	approved, investigational, vet_approved
DB00603	Medroxyprogesterone acetate	approved, investigational
DB00604	Cisapride	approved, investigational, withdrawn
DB00605	Sulindac	approved, investigational
DB00606	Cyclothiazide	approved
DB00607	Nafcillin	approved, investigational
DB00608	Chloroquine	approved, investigational, vet_approved
DB00609	Ethionamide	approved
DB00610	Metaraminol	approved, investigational
DB00611	Butorphanol	approved, illicit, vet_approved
DB00612	Bisoprolol	approved
DB00613	Amodiaquine	approved, investigational
DB00614	Furazolidone	experimental, vet_approved
DB00615	Rifabutin	approved, investigational
DB00616	Candoxatril	experimental
DB00617	Paramethadione	approved
DB00618	Demeclocycline	approved
DB00619	Imatinib	approved
DB00620	Triamcinolone	approved, vet_approved
DB00621	Oxandrolone	approved, investigational
DB00622	Nicardipine	approved, investigational
DB00623	Fluphenazine	approved
DB00624	Testosterone	approved, investigational
DB00625	Efavirenz	approved, investigational
DB00626	Bacitracin	approved, vet_approved
DB00627	Niacin	approved, investigational, nutraceutical
DB00628	Clorazepic acid	approved, illicit
DB00629	Guanabenz	approved, investigational
DB00630	Alendronic acid	approved
DB00631	Clofarabine	approved, investigational
DB00632	Docosanol	approved, investigational
DB00633	Dexmedetomidine	approved, vet_approved
DB00634	Sulfacetamide	approved
DB00635	Prednisone	approved, vet_approved
DB00636	Clofibrate	approved, investigational
DB00637	Astemizole	approved, withdrawn
DB00638	Inulin	approved, investigational, nutraceutical
DB00639	Butoconazole	approved
DB00640	Adenosine	approved, investigational
DB00641	Simvastatin	approved
DB00642	Pemetrexed	approved, investigational
DB00643	Mebendazole	approved, vet_approved
DB00644	Gonadorelin	approved, investigational, vet_approved
DB00645	Dyclonine	approved
DB00646	Nystatin	approved, vet_approved
DB00647	Dextropropoxyphene	approved, illicit, investigational, withdrawn
DB00648	Mitotane	approved
DB00649	Stavudine	approved, investigational
DB00650	Leucovorin	approved
DB00651	Dyphylline	approved
DB00652	Pentazocine	approved, vet_approved
DB00653	Magnesium sulfate	approved, investigational, vet_approved
DB00654	Latanoprost	approved, investigational
DB00655	Estrone	approved
DB00656	Trazodone	approved, investigational
DB00657	Mecamylamine	approved, investigational
DB00658	Sevelamer	approved
DB00659	Acamprosate	approved, investigational
DB00660	Metaxalone	approved
DB00661	Verapamil	approved
DB00662	Trimethobenzamide	approved, investigational
DB00663	Flumethasone	approved, vet_approved
DB00664	Sulfametopyrazine	approved, withdrawn
DB00665	Nilutamide	approved, investigational
DB00666	Nafarelin	approved
DB00668	Epinephrine	approved, vet_approved
DB00669	Sumatriptan	approved, investigational
DB00670	Pirenzepine	approved
DB00671	Cefixime	approved, investigational
DB00672	Chlorpropamide	approved, investigational
DB00673	Aprepitant	approved, investigational
DB00674	Galantamine	approved
DB00675	Tamoxifen	approved
DB00676	Benzyl benzoate	approved
DB00677	Isoflurophate	approved, investigational, withdrawn
DB00678	Losartan	approved
DB00679	Thioridazine	approved, withdrawn
DB00680	Moricizine	approved, investigational, withdrawn
DB00681	Amphotericin B	approved, investigational
DB00682	Warfarin	approved
DB00683	Midazolam	approved, illicit
DB00684	Tobramycin	approved, investigational
DB00685	Trovafloxacin	approved, investigational, withdrawn
DB00686	Pentosan polysulfate	approved
DB00687	Fludrocortisone	approved, investigational
DB00688	Mycophenolate mofetil	approved, investigational
DB00689	Cephaloglycin	approved
DB00690	Flurazepam	approved, illicit, investigational
DB00691	Moexipril	approved
DB00692	Phentolamine	approved
DB00693	Fluorescein	approved
DB00694	Daunorubicin	approved
DB00695	Furosemide	approved, vet_approved
DB00696	Ergotamine	approved
DB00697	Tizanidine	approved, investigational
DB00698	Nitrofurantoin	approved, vet_approved
DB00699	Nicergoline	approved, investigational
DB00700	Eplerenone	approved
DB00701	Amprenavir	approved, investigational
DB00702	Icodextrin	approved, investigational
DB00703	Methazolamide	approved
DB00704	Naltrexone	approved, investigational, vet_approved
DB00705	Delavirdine	approved
DB00706	Tamsulosin	approved, investigational
DB00707	Porfimer sodium	approved, investigational
DB00708	Sufentanil	approved, investigational
DB00709	Lamivudine	approved, investigational
DB00710	Ibandronate	approved, investigational
DB00711	Diethylcarbamazine	approved, investigational, vet_approved
DB00712	Flurbiprofen	approved, investigational
DB00713	Oxacillin	approved, investigational
DB00714	Apomorphine	approved, investigational
DB00715	Paroxetine	approved, investigational
DB00716	Nedocromil	approved, investigational
DB00717	Norethisterone	approved
DB00718	Adefovir dipivoxil	approved, investigational
DB00719	Azatadine	approved
DB00720	Clodronic acid	approved, investigational, vet_approved
DB00721	Procaine	approved, investigational, vet_approved
DB00722	Lisinopril	approved, investigational
DB00723	Methoxamine	approved, investigational
DB00724	Imiquimod	approved, investigational
DB00725	Homatropine methylbromide	approved
DB00726	Trimipramine	approved
DB00727	Nitroglycerin	approved, investigational
DB00728	Rocuronium	approved
DB00730	Thiabendazole	approved, vet_approved
DB00731	Nateglinide	approved, investigational
DB00732	Atracurium besylate	approved
DB00733	Pralidoxime	approved, vet_approved
DB00734	Risperidone	approved, investigational
DB00735	Naftifine	approved
DB00736	Esomeprazole	approved, investigational
DB00737	Meclizine	approved
DB00738	Pentamidine	approved, investigational
DB00739	Hetacillin	approved, vet_approved, withdrawn
DB00740	Riluzole	approved, investigational
DB00741	Hydrocortisone	approved, vet_approved
DB00742	Mannitol	approved, investigational
DB00743	Gadobenic acid	approved, investigational
