NCBI Gene ID	Gene Symbol	Gene Name	Original Symbol					
646862	RNF225	ring finger protein 225	RNF225					
57801	HES4	hes family bHLH transcription factor 4	HES4					
9162	DGKI	diacylglycerol kinase iota	DGKI					
2762	GMDS	"GDP-mannose 4,6-dehydratase"	GMDS					
284110	GSDMA	gasdermin A	GSDMA					
81610	FAM83D	family with sequence similarity 83 member D	FAM83D					
974	CD79B	CD79b molecule	CD79B					
6094	ROM1	retinal outer segment membrane protein 1	ROM1					
720	C4A	complement C4A (Chido/Rodgers blood group)	C4A					
721	C4B	complement C4B (Chido/Rodgers blood group)	C4B					
389332	SMIM32	small integral membrane protein 32	SMIM32					
81618	ITM2C	integral membrane protein 2C	ITM2C					
1237	CCR8	C-C motif chemokine receptor 8	CCR8					
200150	PLD5	phospholipase D family member 5	PLD5					
6357	CCL13	C-C motif chemokine ligand 13	CCL13					
283869	NPW	neuropeptide W	NPW					
4314	MMP3	matrix metallopeptidase 3	MMP3					
6363	CCL19	C-C motif chemokine ligand 19	CCL19					
401115	NICOL1	NELL2 interacting cell ontogeny regulator 1	C4orf48					
2525	FUT3	fucosyltransferase 3 (Lewis blood group)	FUT3					
221150	SKA3	spindle and kinetochore associated complex subunit 3	SKA3					
1758	DMP1	dentin matrix acidic phosphoprotein 1	DMP1					
84958	SYTL1	synaptotagmin like 1	SYTL1					
10720	UGT2B11	UDP glucuronosyltransferase family 2 member B11	UGT2B11					
54756	IL17RD	interleukin 17 receptor D	IL17RD					
349667	RTN4RL2	reticulon 4 receptor like 2	RTN4RL2					
1001	CDH3	cadherin 3	CDH3					
150763	GPAT2	"glycerol-3-phosphate acyltransferase 2, mitochondrial"	GPAT2					
51179	HAO2	hydroxyacid oxidase 2	HAO2					
5100	PCDH8	protocadherin 8	PCDH8					
8941	CDK5R2	cyclin dependent kinase 5 regulatory subunit 2	CDK5R2					
10483	SEC23B	"SEC23 homolog B, COPII coat complex component"	SEC23B					
64499	TPSB2	tryptase beta 2	TPSB2					
284656	EPHA10	EPH receptor A10	EPHA10					
27127	SMC1B	structural maintenance of chromosomes 1B	SMC1B					
26872	STEAP1	STEAP family member 1	STEAP1					
27132	CPNE7	copine 7	CPNE7					
766	CA7	carbonic anhydrase 7	CA7	
